Time,yPosition,yVelocity,yAcceleration
13769.422,-1130.7671,-0.12645914,-1.9465636E-11
13801.918,-1134.8765,-0.12645914,-1.9511798E-11
13834.419,-1138.9866,-0.12645914,-1.9557847E-11
13866.9375,-1143.0989,-0.12645914,-1.9603902E-11
13899.453,-1147.2108,-0.12645914,-1.9649981E-11
13931.925,-1151.3171,-0.12645914,-1.9696057E-11
13964.428,-1155.4275,-0.12645914,-1.974207E-11
13997.036,-1159.5511,-0.12645914,-1.9788128E-11
14029.654,-1163.676,-0.12645914,-1.9834336E-11
14062.292,-1167.8035,-0.12645914,-1.9880557E-11
14094.984,-1171.9377,-0.12645914,-1.9926805E-11
14127.74,-1176.0801,-0.12645914,-1.9973133E-11
14160.492,-1180.2218,-0.12645914,-2.0019549E-11
14193.261,-1184.3657,-0.12645914,-2.006596E-11
14225.945,-1188.499,-0.12645914,-2.0112394E-11
14258.597,-1192.628,-0.12645914,-2.0158708E-11
14291.23,-1196.7549,-0.12645914,-2.0204977E-11
14323.827,-1200.8771,-0.12645914,-2.025122E-11
14356.385,-1204.9943,-0.12645914,-2.0297411E-11
14388.951,-1209.1127,-0.12645914,-2.0343546E-11
14421.453,-1213.2228,-0.12645914,-2.0389695E-11
14453.937,-1217.3307,-0.12645914,-2.043575E-11
14486.431,-1221.4398,-0.12645914,-2.0481781E-11
14518.877,-1225.543,-0.12645914,-2.0527826E-11
14551.342,-1229.6484,-0.12645914,-2.0573805E-11
14583.832,-1233.7571,-0.12645914,-2.0619808E-11
14616.293,-1237.8622,-0.12645914,-2.0665848E-11
14648.783,-1241.971,-0.12645914,-2.0711847E-11
14681.3125,-1246.0846,-0.12645914,-2.0757887E-11
14713.804,-1250.1934,-0.12645914,-2.0803982E-11
14746.306,-1254.3036,-0.12645914,-2.0850023E-11
14778.756,-1258.4072,-0.12645914,-2.089608E-11
14811.236,-1262.5146,-0.12645914,-2.0942062E-11
14843.751,-1266.6265,-0.12645914,-2.0988088E-11
14876.277,-1270.7396,-0.12645914,-2.1034162E-11
14908.812,-1274.8539,-0.12645914,-2.1080254E-11
14941.345,-1278.968,-0.12645914,-2.1126356E-11
14973.84,-1283.0773,-0.12645914,-2.1172458E-11
