Time,xPosition,xVelocity,xAcceleration
15786.565,-432.88004,-5.743119E-8,-3.6379788E-12
15818.889,-432.88004,-5.754878E-8,-3.6379788E-12
15851.196,-432.88004,-5.7666316E-8,-3.6379788E-12
15883.442,-432.88004,-5.7783627E-8,-3.6379788E-12
15915.746,-432.88004,-5.7901147E-8,-3.6379788E-12
15947.984,-432.88004,-5.801843E-8,-3.6379788E-12
15980.245,-432.88004,-5.8135793E-8,-3.6379788E-12
16012.529,-432.88004,-5.8253242E-8,-3.6379788E-12
16044.81,-432.88004,-5.8370677E-8,-3.6379788E-12
16077.122,-432.88004,-5.848823E-8,-3.6379788E-12
16109.452,-432.88004,-5.8605846E-8,-3.6379788E-12
16141.716,-432.88004,-5.872322E-8,-3.6379788E-12
16174.0,-432.88004,-5.884067E-8,-3.6379788E-12
16206.318,-432.88004,-5.8958243E-8,-3.6379788E-12
16238.664,-432.88004,-5.9075916E-8,-3.6379788E-12
16270.983,-432.88004,-5.9193493E-8,-3.6379788E-12
16303.278,-432.88004,-5.931098E-8,-3.6379788E-12
16335.6455,-432.88004,-5.9428732E-8,-3.6379788E-12
16368.045,-432.88004,-5.95466E-8,-3.6379788E-12
16400.434,-432.88004,-5.966443E-8,-3.6379788E-12
16432.78,-432.88004,-5.97821E-8,-3.6379788E-12
16465.111,-432.88004,-5.9899726E-8,-3.6379788E-12
16497.463,-432.88004,-6.001742E-8,-3.6379788E-12
16529.8,-432.88004,-6.0135065E-8,-3.6379788E-12
16562.139,-432.88004,-6.025271E-8,-3.6379788E-12
16594.498,-432.88004,-6.037043E-8,-3.6379788E-12
16626.846,-432.88004,-6.048811E-8,-3.6379788E-12
16659.145,-432.88004,-6.0605615E-8,-3.6379788E-12
16691.441,-432.88004,-6.072311E-8,-3.6379788E-12
16723.78,-432.88004,-6.0840755E-8,-3.6379788E-12
16756.133,-432.88004,-6.0958456E-8,-3.6379788E-12
16788.514,-432.88004,-6.107626E-8,-3.6379788E-12
16820.83,-432.88004,-6.119382E-8,-3.6379788E-12
16853.14,-432.88004,-6.131137E-8,-3.6379788E-12
16885.473,-432.88004,-6.142899E-8,-3.6379788E-12
16917.756,-432.88004,-6.154644E-8,-3.6379788E-12
16950.023,-432.88004,-6.1663826E-8,-3.6379788E-12
16982.324,-432.88004,-6.1781336E-8,-3.6379788E-12
17014.604,-432.88004,-6.189877E-8,-3.6379788E-12
17046.965,-432.88004,-6.20165E-8,-3.6379788E-12
17079.39,-432.88004,-6.213446E-8,-3.6379788E-12
17111.764,-432.88004,-6.2252234E-8,-3.6379788E-12
17144.152,-432.88004,-6.237006E-8,-3.6379788E-12
17176.557,-432.88004,-6.248795E-8,-3.6379788E-12
17208.953,-432.88004,-6.260581E-8,-3.6379788E-12
17241.41,-432.88004,-6.2723885E-8,-3.6379788E-12
17273.889,-432.88004,-6.284204E-8,-3.6379788E-12
17306.389,-432.88004,-6.2960275E-8,-3.6379788E-12
17338.84,-432.88004,-6.307833E-8,-3.6379788E-12
17371.318,-432.88004,-6.319649E-8,-3.6379788E-12
17403.809,-432.88004,-6.331469E-8,-3.6379788E-12
17436.322,-432.88004,-6.343297E-8,-3.6379788E-12
17468.887,-432.88004,-6.355144E-8,-3.6379788E-12
17501.404,-432.88004,-6.366974E-8,-3.6379788E-12
17533.883,-432.88004,-6.3787894E-8,-3.6379788E-12
17566.385,-432.88004,-6.3906135E-8,-3.6379788E-12
17598.926,-432.88004,-6.402452E-8,-3.6379788E-12
17631.49,-432.88004,-6.414299E-8,-3.6379788E-12
17663.988,-432.88004,-6.4261215E-8,-3.6379788E-12
17696.47,-432.88004,-6.4379385E-8,-3.6379788E-12
17728.973,-432.88004,-6.449763E-8,-3.6379788E-12
17761.504,-432.88004,-6.4615975E-8,-3.6379788E-12
17793.99,-432.88004,-6.473416E-8,-3.6379788E-12
17826.438,-432.88004,-6.48522E-8,-3.6379788E-12
17858.844,-432.88004,-6.4970095E-8,-3.6379788E-12
17891.312,-432.88004,-6.5088216E-8,-3.6379788E-12
17923.818,-432.88004,-6.520647E-8,-3.6379788E-12
17956.354,-432.88004,-6.532483E-8,-3.6379788E-12
17988.916,-432.88004,-6.5443295E-8,-3.6379788E-12
18021.424,-432.88004,-6.556156E-8,-3.6379788E-12
18053.965,-432.88004,-6.567994E-8,-3.6379788E-12
18086.465,-432.88004,-6.5798176E-8,-3.6379788E-12
18118.98,-432.88004,-6.591647E-8,-3.6379788E-12
18151.516,-432.88004,-6.603483E-8,-3.6379788E-12
18184.057,-432.88004,-6.615321E-8,-3.6379788E-12
18216.656,-432.88004,-6.627181E-8,-3.6379788E-12
18249.299,-432.88004,-6.639056E-8,-3.6379788E-12
18281.965,-432.88004,-6.65094E-8,-3.6379788E-12
18314.605,-432.88004,-6.662815E-8,-3.6379788E-12
18347.264,-432.88004,-6.6746956E-8,-3.6379788E-12
18379.871,-432.88004,-6.686558E-8,-3.6379788E-12
18412.445,-432.88004,-6.6984086E-8,-3.6379788E-12
18445.014,-432.88004,-6.710257E-8,-3.6379788E-12
